Company Name,Domain,Industry,Company Size,Org Stage,Primary Contact,Owner,Service Line,Sales Source,Website,Country,City,Create Date
Northline Health Partners,northlinehealth.example,Healthcare,250-500,Scaling,Leah Morgan,caio@zia.example,Leadership Development,Referral,https://northlinehealth.example,USA,Chicago,2025-01-12
Harborview Dental Group,harborviewdental.example,Dental Services,50-100,Stable,Daniel Kim,zoe@zia.example,Operational Excellence,Organic,https://harborviewdental.example,USA,Seattle,2025-02-02
SummitCare Clinics,summitcare.example,Healthcare,100-250,Restructuring,Amelia Ruiz,ian@zia.example,People Strategy,Conference,https://summitcare.example,USA,Dallas,2025-03-07
Ridgeway Orthodontics,ridgewayortho.example,Orthodontics,20-50,Growth,Noah Patel,michael@zia.example,Training & Coaching,Inbound,https://ridgewayortho.example,USA,Austin,2025-04-15
Beacon Rehab Collective,beaconrehab.example,Rehab Services,75-150,Stable,Emma Chen,vanessa@zia.example,Organizational Design,Partner,https://beaconrehab.example,USA,Denver,2025-06-09
Fieldstone Dental Alliance,fieldstonedental.example,Dental Services,150-300,Growth,Tara Wright,zane@zia.example,Leadership Coaching,Referral,https://fieldstonedental.example,USA,Atlanta,2025-06-12
Cedar Valley Medical Group,cedarvalley.example,Healthcare,300-500,Post-M&A,Sophia Grant,caio@zia.example,Change Management,Outbound,https://cedarvalley.example,USA,Minneapolis,2025-07-18
Lakeshore Family Practice,lakeshorefamily.example,Primary Care,40-75,Growth,Marcus Bell,zoe@zia.example,Team Development,Organic,https://lakeshorefamily.example,USA,Portland,2025-08-01
Pinecrest Therapy Network,pinecresttherapy.example,Behavioral Health,80-150,Scaling,Olivia Hart,ian@zia.example,Training Programs,Partner,https://pinecresttherapy.example,USA,Nashville,2025-08-21
Lumen Care Group,lumencare.example,Healthcare,500+,Growth,James Walker,michael@zia.example,Performance Consulting,Inbound,https://lumencare.example,USA,Charlotte,2025-09-08
