Type,Title,When
Call,Discovery call,2024-10-25
Note,Intro call. Rapid headcount growth has outpaced their management layer; first-time managers are struggling.,2024-11-04
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2024-11-15
Call,Follow-up call,2024-11-21
Meeting,Scoping session,2024-11-25
Meeting,Stakeholder alignment,2024-12-02
Meeting,Diagnostic readout,2024-12-02
Call,Follow-up call,2024-12-04
Call,Engagement check-in,2024-12-16
Note,Sent the program outline and a sample cohort schedule.,2024-12-17
Call,Follow-up call,2024-12-17
Meeting,Proposal review,2024-12-19
Call,Follow-up call,2024-12-20
Call,Engagement check-in,2024-12-23
Meeting,Stakeholder alignment,2024-12-23
Call,Engagement check-in,2024-12-24
Call,Follow-up call,2024-12-25
Call,Engagement check-in,2024-12-25
Call,Discovery call,2024-12-27
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2024-12-30
Call,Follow-up call,2024-12-30
Call,Engagement check-in,2024-12-30
Call,Engagement check-in,2024-12-30
Meeting,Engagement review,2024-12-30
Meeting,Engagement review,2025-01-01
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-01-03
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-01-03
Call,Follow-up call,2025-01-03
Call,Discovery call,2025-01-03
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-01-06
Call,Follow-up call,2025-01-06
Call,Engagement check-in,2025-01-06
Call,Engagement check-in,2025-01-06
Call,Engagement check-in,2025-01-06
Meeting,Stakeholder alignment,2025-01-06
Note,Shared two anonymised case studies from similar-stage organizations.,2025-01-07
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-01-08
Note,Two sessions rescheduled by the client; momentum slipping. Account review scheduled.,2025-01-08
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-01-08
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-01-09
Call,Engagement check-in,2025-01-09
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-01-10
Call,Discovery call,2025-01-10
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-01-13
Note,Client considering pausing the remaining cohort — retention conversation needed.,2025-01-13
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-01-13
Call,Follow-up call,2025-01-13
Call,Engagement check-in,2025-01-13
Call,Engagement check-in,2025-01-13
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-01-14
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-01-14
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-01-15
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-01-15
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-01-16
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-01-16
Call,Follow-up call,2025-01-17
Meeting,Engagement review,2025-01-17
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-01-20
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-01-20
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-01-20
Call,Engagement check-in,2025-01-20
Call,Engagement check-in,2025-01-20
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-01-21
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-01-22
Call,Engagement check-in,2025-01-22
Meeting,Scoping session,2025-01-22
Call,Follow-up call,2025-01-23
Note,"Scoping call — mapped the leadership bench, current review cycle and who owns development today.",2025-01-24
Note,Client considering pausing the remaining cohort — retention conversation needed.,2025-01-24
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-01-24
Meeting,Engagement review,2025-01-24
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-01-27
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-01-27
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-01-27
Meeting,Stakeholder alignment,2025-01-27
Meeting,Engagement review,2025-01-27
Call,Follow-up call,2025-01-28
Meeting,Proposal review,2025-01-28
Meeting,Engagement review,2025-01-28
Note,Sponsor raised concerns about cohort attendance. Escalating to delivery lead.,2025-01-29
Call,Follow-up call,2025-01-29
Call,Engagement check-in,2025-01-30
Call,Engagement check-in,2025-01-30
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-01-31
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-01-31
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-02-03
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2025-02-03
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-02-03
Call,Engagement check-in,2025-02-03
Call,Follow-up call,2025-02-03
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-02-04
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-02-05
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-02-05
Call,Follow-up call,2025-02-06
Note,Sponsor raised concerns about cohort attendance. Escalating to delivery lead.,2025-02-07
Call,Follow-up call,2025-02-07
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2025-02-10
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-02-10
Note,Sponsor raised concerns about cohort attendance. Escalating to delivery lead.,2025-02-10
Call,Engagement check-in,2025-02-10
Call,Follow-up call,2025-02-10
Call,Discovery call,2025-02-11
Meeting,Stakeholder alignment,2025-02-11
Meeting,Engagement review,2025-02-11
Meeting,Engagement review,2025-02-11
Call,Follow-up call,2025-02-13
Call,Engagement check-in,2025-02-13
Call,Engagement check-in,2025-02-13
Call,Engagement check-in,2025-02-14
Call,Engagement check-in,2025-02-14
Call,Follow-up call,2025-02-14
Call,Follow-up call,2025-02-14
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2025-02-17
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-02-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-02-17
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-02-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-02-17
Call,Follow-up call,2025-02-17
Call,Follow-up call,2025-02-17
Meeting,Proposal review,2025-02-17
Meeting,Stakeholder alignment,2025-02-17
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-02-18
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-02-19
Note,Sponsor raised concerns about cohort attendance. Escalating to delivery lead.,2025-02-19
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2025-02-19
Call,Follow-up call,2025-02-19
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-02-20
Call,Engagement check-in,2025-02-20
Meeting,Stakeholder alignment,2025-02-20
Call,Follow-up call,2025-02-21
Call,Engagement check-in,2025-02-21
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-02-24
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-02-24
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-02-24
Call,Follow-up call,2025-02-24
Meeting,Stakeholder alignment,2025-02-25
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-02-26
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-02-26
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-02-26
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-02-26
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-02-26
Call,Engagement check-in,2025-02-26
Note,Sponsor raised concerns about cohort attendance. Escalating to delivery lead.,2025-02-27
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2025-02-28
Call,Engagement check-in,2025-02-28
Call,Engagement check-in,2025-03-03
Meeting,Diagnostic readout,2025-03-03
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-03-04
Call,Engagement check-in,2025-03-04
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-03-05
Call,Follow-up call,2025-03-05
Note,Executive sponsor changed mid-engagement; re-selling the value internally.,2025-03-06
Note,Two sessions rescheduled by the client; momentum slipping. Account review scheduled.,2025-03-07
Call,Discovery call,2025-03-07
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-03-10
Note,Client considering pausing the remaining cohort — retention conversation needed.,2025-03-10
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-03-10
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-03-12
Call,Follow-up call,2025-03-12
Meeting,Engagement review,2025-03-12
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-03-13
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-03-13
Call,Engagement check-in,2025-03-13
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-03-14
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-03-14
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-03-14
Call,Discovery call,2025-03-14
Call,Engagement check-in,2025-03-14
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-03-17
Note,Client considering pausing the remaining cohort — retention conversation needed.,2025-03-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-03-17
Call,Discovery call,2025-03-17
Call,Follow-up call,2025-03-17
Call,Engagement check-in,2025-03-17
Call,Follow-up call,2025-03-17
Call,Engagement check-in,2025-03-18
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-03-20
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-03-20
Note,Two sessions rescheduled by the client; momentum slipping. Account review scheduled.,2025-03-20
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-03-20
Call,Engagement check-in,2025-03-20
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-03-21
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-03-21
Call,Follow-up call,2025-03-21
Call,Discovery call,2025-03-21
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-03-24
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-03-24
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-03-24
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-03-24
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-03-24
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-03-24
Meeting,Proposal review,2025-03-25
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-03-26
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-03-26
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-03-26
Call,Follow-up call,2025-03-26
Note,Client considering pausing the remaining cohort — retention conversation needed.,2025-03-27
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-03-27
Meeting,Engagement review,2025-03-27
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-03-31
Call,Discovery call,2025-03-31
Call,Follow-up call,2025-03-31
Meeting,Scoping session,2025-03-31
Meeting,Engagement review,2025-03-31
Meeting,Proposal review,2025-03-31
Meeting,Scoping session,2025-03-31
Note,Sponsor raised concerns about cohort attendance. Escalating to delivery lead.,2025-04-01
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-04-01
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-04-03
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-04-03
Call,Follow-up call,2025-04-03
Meeting,Engagement review,2025-04-03
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-04-04
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-04-04
Call,Follow-up call,2025-04-04
Call,Engagement check-in,2025-04-04
Call,Follow-up call,2025-04-04
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-04-07
Call,Follow-up call,2025-04-07
Call,Engagement check-in,2025-04-07
Call,Engagement check-in,2025-04-10
