Name,Website,Phone Number,City,State,Number of Employees,zia_industry,zia_company_stage,zia_org_size,zia_service_line,zia_client_health,Create Date
Wynn Dentistry,https://wynndentistry.example,+19085767382,New York,NY,10,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-03-18
Cavendish Dentistry,https://cavendishdentistry.example,+19612091736,Los Angeles,CA,9,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-04-21
Windsor Dentistry,https://windsordentistry.example,+19494384134,Chicago,IL,15,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-12-20
Riverstone Dental Studio,https://riverstonedentalstudio.example,+18962632081,Houston,TX,6,General Dentistry — Solo,at_risk,1,organizational_design,at_risk,2025-10-16
Windsor Dental Alliance,https://windsordentalalliance.example,+19472732572,Phoenix,AZ,189,Dental Services Organization,active_client,21,organizational_design,healthy,2026-08-05
Pinehurst Dental Studio,https://pinehurstdentalstudio.example,+12238743632,Philadelphia,PA,22,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-05-14
Foxfield Dental Associates,https://foxfielddentalassociates.example,+12335278923,San Antonio,TX,68,General Dentistry — Group,active_client,4,organizational_design,watchlist,2026-04-19
Bayview Oral Surgery Associates,https://bayvieworalsurgeryassociates.example,+13966856517,San Diego,CA,5,,active_client,1,organizational_design,healthy,2025-12-07
Fairmont Oral & Maxillofacial Surgery,https://fairmontoralmaxillofacialsur.example,+12329027910,Dallas,TX,15,Oral Surgery,active_client,1,organizational_design,healthy,2025-03-20
Fieldstone Orthodontics,https://fieldstoneorthodontics.example,+15307742837,San Jose,CA,24,Orthodontics,at_risk,2,organizational_design,at_risk,2025-07-10
Lakeshore Dental Associates,https://lakeshoredentalassociates.example,+18475253757,Austin,TX,72,General Dentistry — Group,at_risk,4,organizational_design,at_risk,2024-10-10
Granville Dental Care,https://granvilledentalcare.example,+15055024610,Jacksonville,FL,12,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2026-07-09
Wynn Braces & Aligners,https://wynnbracesaligners.example,+13733201210,Fort Worth,TX,6,Orthodontics,active_client,1,organizational_design,watchlist,2026-04-26
Fieldstone Dental Alliance,https://fieldstonedentalalliance.example,+17684886858,Columbus,OH,90,Dental Services Organization,active_client,5,organizational_design,healthy,2025-05-30
Wynn Smile Partners,https://wynnsmilepartners.example,+12055377363,Indianapolis,IN,270,Dental Services Organization,active_client,30,organizational_design,healthy,2024-09-18
Brookvale Kids Dental Care,https://brookvalekidsdentalcare.example,+15944033896,Charlotte,NC,20,Pediatric Dentistry,active_client,1,organizational_design,healthy,2025-11-25
Prescott Smile Partners,https://prescottsmilepartners.example,+14668598633,San Francisco,CA,65,Dental Services Organization,at_risk,5,organizational_design,at_risk,2026-03-06
Pinehurst Surgical Arts,https://pinehurstsurgicalarts.example,+13948887884,Seattle,WA,17,Oral Surgery,active_client,1,organizational_design,watchlist,2026-07-22
