Name,Company Domain Name,City,State/Region,Number of Employees,Client Sector,Company Stage,Organization Size (Staff),Service Line,Client Health,Client Since,Account NPS
Kingsford Partners,kingsfordpartners.com,Columbus,OH,45,Professional Services,Active Client,5,Organizational Design,Healthy,,
Foxglove Digital,foxglovedigital.com,Los Angeles,CA,10,Technology & SaaS,Active Client,1,Organizational Design,Healthy,,
Granton Consulting,grantonconsulting.com,Sacramento,CA,40,Professional Services,Active Client,4,Organizational Design,Healthy,,
Carrow Works,carrowworks.com,Atlanta,GA,18,Manufacturing,Active Client,1,Organizational Design,Healthy,,
Stonebridge Logistics,stonebridgelogistics.com,Cleveland,OH,78,Logistics & Supply Chain,Active Client,6,Organizational Design,Healthy,,
Linden Education Group,lindeneducationgroup.com,Cleveland,OH,21,Education,Active Client,1,Organizational Design,Healthy,,
Pinehill Manufacturing,pinehillmanufacturing.com,Memphis,TN,22,Manufacturing,At Risk,1,Organizational Design,At Risk,,
Tilbury Digital,tilburydigital.com,Indianapolis,IN,27,Technology & SaaS,Active Client,3,Organizational Design,Healthy,,
Harrowgate Learning,harrowgatelearning.com,Oklahoma City,OK,21,Education,Active Client,1,Organizational Design,Healthy,,
Sable Consulting,sableconsulting.com,Louisville,KY,5,Professional Services,Active Client,1,Organizational Design,Healthy,,
Copperfield Retail Group,copperfieldretailgroup.com,Oklahoma City,OK,6,Retail & Consumer,At Risk,1,Organizational Design,At Risk,,
Cobalt Foundation,cobaltfoundation.com,Indianapolis,IN,270,Nonprofit & Social Impact,Active Client,30,Organizational Design,Healthy,,
Orchard Education Group,orchardeducationgroup.com,New Orleans,LA,12,Education,At Risk,1,Organizational Design,At Risk,,
Marlowe Logistics,marlowelogistics.com,Louisville,KY,60,Logistics & Supply Chain,Active Client,4,Organizational Design,Healthy,,
Winsley Medical Group,winsleymedicalgroup.com,Austin,TX,204,Healthcare,Active Client,12,Organizational Design,Healthy,,
Redwyn Goods,redwyngoods.com,El Paso,TX,20,Retail & Consumer,Active Client,1,Organizational Design,Healthy,,
Redwyn Manufacturing,redwynmanufacturing.com,Aurora,CO,180,Manufacturing,Active Client,12,Organizational Design,Healthy,,
Aster Logistics,asterlogistics.com,Sacramento,CA,16,Logistics & Supply Chain,Active Client,1,Organizational Design,Healthy,,
Pinehill Labs,pinehilllabs.com,Chicago,IL,15,Technology & SaaS,Active Client,1,Organizational Design,Healthy,,
Wayfinder Learning,wayfinderlearning.com,Oklahoma City,OK,216,Education,Active Client,12,Organizational Design,Healthy,2026-06-15,
Copperfield Financial,copperfieldfinancial.com,Indianapolis,IN,7,Financial Services,Active Client,1,Organizational Design,Healthy,2025-12-08,
Hallmark Software,hallmarksoftware.com,Fort Worth,TX,64,Technology & SaaS,Active Client,4,Organizational Design,Healthy,2025-01-03,
Merrow Consulting,merrowconsulting.com,Chicago,IL,9,Professional Services,Active Client,1,Organizational Design,Healthy,2026-05-06,
Vestry Software,vestrysoftware.com,Indianapolis,IN,20,Technology & SaaS,Active Client,2,Organizational Design,Healthy,2025-03-24,
Fairhaven Logistics,fairhavenlogistics.com,El Paso,TX,24,Logistics & Supply Chain,Active Client,2,Organizational Design,Healthy,2026-06-24,
Copperfield Partners,copperfieldpartners.com,Anaheim,CA,44,Professional Services,Active Client,4,Organizational Design,Healthy,2025-02-17,
Fairhaven Learning,fairhavenlearning.com,Nashville,TN,85,Education,Active Client,5,Organizational Design,Healthy,2025-03-24,
Dunmore Industries,dunmoreindustries.com,Santa Ana,CA,60,Manufacturing,Active Client,4,Organizational Design,Healthy,2026-07-24,
Northwind Group,northwindgroup.com,Aurora,CO,20,Professional Services,Active Client,1,Organizational Design,Watchlist,2026-05-14,
Vantage Freight,vantagefreight.com,Long Beach,CA,19,Logistics & Supply Chain,At Risk,1,Organizational Design,At Risk,2024-11-14,
Quarry Academy,quarryacademy.com,Atlanta,GA,12,Education,Active Client,1,Organizational Design,Healthy,2026-05-19,
Lattice Works,latticeworks.com,Raleigh,NC,264,Manufacturing,Active Client,24,Organizational Design,Healthy,2026-07-27,0
Draycott Contracting,draycottcontracting.com,Baltimore,MD,238,Construction & Trades,Active Client,14,Organizational Design,Healthy,2026-01-29,100
Northwind Digital,northwinddigital.com,Fresno,CA,6,Technology & SaaS,Active Client,1,Organizational Design,Healthy,2026-05-22,100
Foxglove Builders,foxglovebuilders.com,San Antonio,TX,14,Construction & Trades,Active Client,1,Organizational Design,Healthy,2026-03-23,
Upton Works,uptonworks.com,Sacramento,CA,16,Manufacturing,Active Client,1,Organizational Design,Healthy,2026-07-03,100
Thornbury Software,thornburysoftware.com,Portland,OR,28,Technology & SaaS,Active Client,2,Organizational Design,Healthy,2026-04-20,
Brookline Works,brooklineworks.com,Bakersfield,CA,18,Manufacturing,At Risk,1,Organizational Design,At Risk,2024-10-18,
Merrow Retail Group,merrowretailgroup.com,Atlanta,GA,11,Retail & Consumer,Active Client,1,Organizational Design,Healthy,2026-05-20,0
Vale Advisory,valeadvisory.com,Fort Worth,TX,11,Professional Services,Active Client,1,Organizational Design,Healthy,2025-05-01,100
Wexford Goods,wexfordgoods.com,Raleigh,NC,65,Retail & Consumer,Active Client,5,Organizational Design,Healthy,2026-07-23,100
Jarrow Capital,jarrowcapital.com,San Francisco,CA,7,Financial Services,Active Client,1,Organizational Design,Watchlist,2026-08-14,100
Newbold Consulting,newboldconsulting.com,Tucson,AZ,12,Professional Services,Active Client,1,Organizational Design,Watchlist,2025-02-03,
Blackstone Group,blackstonegroup.com,Indianapolis,IN,45,Professional Services,Active Client,3,Organizational Design,Healthy,2026-06-25,0
Winsley Financial,winsleyfinancial.com,Long Beach,CA,34,Financial Services,Active Client,2,Organizational Design,Healthy,2026-06-29,100
Draycott Care Group,draycottcaregroup.com,Bakersfield,CA,32,Healthcare,Active Client,2,Organizational Design,Healthy,2025-12-08,100
Yarrow Software,yarrowsoftware.com,San Antonio,TX,26,Technology & SaaS,Active Client,2,Organizational Design,Healthy,2025-06-02,
Hallmark Digital,hallmarkdigital.com,Seattle,WA,56,Technology & SaaS,At Risk,4,Organizational Design,At Risk,2026-08-13,0
Whitlock Medical Group,whitlockmedicalgroup.com,Baltimore,MD,39,Healthcare,At Risk,3,Organizational Design,At Risk,2026-08-03,0
Linden Initiative,lindeninitiative.com,Fort Worth,TX,20,Nonprofit & Social Impact,Active Client,2,Organizational Design,Healthy,2025-02-28,100
Hallmark Medical Group,hallmarkmedicalgroup.com,San Antonio,TX,16,Healthcare,Active Client,1,Organizational Design,Healthy,2025-02-18,0
Larkspur Logistics,larkspurlogistics.com,Albuquerque,NM,135,Logistics & Supply Chain,Active Client,9,Organizational Design,Healthy,2025-09-29,100
Glenmoor Initiative,glenmoorinitiative.com,Indianapolis,IN,72,Nonprofit & Social Impact,Active Client,4,Organizational Design,Watchlist,2026-06-24,100
Harrowgate Manufacturing,harrowgatemanufacturing.com,El Paso,TX,36,Manufacturing,Active Client,3,Organizational Design,Healthy,2026-07-29,100
Beacon Brands,beaconbrands.com,El Paso,TX,16,Retail & Consumer,Active Client,1,Organizational Design,Healthy,2025-11-19,0
Glenmoor Digital,glenmoordigital.com,Detroit,MI,80,Technology & SaaS,At Risk,5,Organizational Design,At Risk,2025-05-12,0
Stonebridge Industries,stonebridgeindustries.com,Santa Ana,CA,72,Manufacturing,Active Client,4,Organizational Design,Watchlist,2026-04-01,0
Linden Capital,lindencapital.com,Mesa,AZ,8,Financial Services,At Risk,1,Organizational Design,At Risk,2025-03-05,
Copperfield Care Group,copperfieldcaregroup.com,Atlanta,GA,18,Healthcare,Active Client,1,Organizational Design,Healthy,2025-08-04,0
Wexford Industries,wexfordindustries.com,Raleigh,NC,10,Manufacturing,Active Client,1,Organizational Design,Watchlist,2026-08-14,100
Stonebridge Labs,stonebridgelabs.com,San Francisco,CA,39,Technology & SaaS,Active Client,3,Organizational Design,Healthy,2026-05-04,0
Stonebridge Education Group,stonebridgeeducationgroup.com,Santa Ana,CA,52,Education,Active Client,4,Organizational Design,Watchlist,2026-08-14,0
Bright Harbor Academy,brightharboracademy.com,San Antonio,TX,39,Education,Active Client,3,Organizational Design,Healthy,2025-07-22,100
Ivywell Freight,ivywellfreight.com,Chicago,IL,5,Logistics & Supply Chain,Active Client,1,Organizational Design,Healthy,2026-08-14,0
Merrow Financial,merrowfinancial.com,Aurora,CO,448,Financial Services,Active Client,28,Organizational Design,Healthy,2026-07-06,100
Pemberton Contracting,pembertoncontracting.com,Atlanta,GA,22,Construction & Trades,Active Client,1,Organizational Design,Healthy,2026-06-19,100
Marlow Technologies,marlowtechnologies.com,Fresno,CA,198,Technology & SaaS,Active Client,22,Organizational Design,Healthy,2025-03-31,0
Meridian Medical Group,meridianmedicalgroup.com,Oklahoma City,OK,20,Healthcare,Active Client,1,Organizational Design,Healthy,2025-02-10,0
Larkspur Advisory,larkspuradvisory.com,New York,NY,68,Professional Services,At Risk,4,Organizational Design,At Risk,2026-06-24,100
Northwind Software,northwindsoftware.com,Aurora,CO,14,Technology & SaaS,Active Client,1,Organizational Design,Healthy,2026-07-13,100
Yarrow Partners,yarrowpartners.com,Aurora,CO,10,Professional Services,At Risk,1,Organizational Design,At Risk,2025-05-05,
Quarry Manufacturing,quarrymanufacturing.com,Columbus,OH,22,Manufacturing,Active Client,1,Organizational Design,Healthy,2025-10-06,0
Lyndhurst Manufacturing,lyndhurstmanufacturing.com,Portland,OR,60,Manufacturing,Active Client,5,Organizational Design,Watchlist,2025-07-07,0
