Deal Name,Amount,Close Date,Associated Company,zia_deal_type,zia_service_type,zia_seats_committed,zia_hours_per_week,zia_expected_launch_date,zia_primary_challenge
Lakeshore Smile Dentistry — Core embed,21823,2025-02-01,lakeshoresmiledentistry8477.com,Core,Recall & Reactivation;Front Office / Patient Comms,1,35,2025-02-15,
Harbour Orthodontic Group — Core embed,14341,2026-03-12,harbourorthodonticgroup.com,Core,Insurance Verification,1,23,2026-03-22,
Prescott Kids Dental Care — Summit 2 seats,57156,2026-10-11,prescottkidsdentalcare1003.com,Summit,Revenue Cycle / Billing;Claims & AR Follow-up,2,25,,
Bayview Dental Studio — Momentum embed,29098,2026-10-06,bayviewdentalstudio.com,Momentum,Claims & AR Follow-up;Treatment Coordination,1,35,,
Tarrant Dental Care — Core embed,16835,2026-09-12,tarrantdentalcare9756.com,Core,Recall & Reactivation,1,27,,
Alder Creek Dental Care — Momentum embed,24109,2026-10-01,aldercreekdentalcare8286.com,Momentum,Patient Scheduling;Recall & Reactivation,1,29,,
Cavendish Root Canal Specialists — Core 2 seats,38658,2025-02-24,cavendishrootcanalspecialist3911.com,Core,Insurance Verification;Records & Charting Support,2,31,2025-03-12,
Tarrant Dental Care — Momentum 2 seats,31592,2026-06-03,tarrantdentalcare2549.com,Momentum,Practice Marketing,2,19,,
Stonebridge Oral Health Partners — Core embed,9976,2026-11-20,stonebridgeoralhealthpartner3793.com,Core,Recall & Reactivation;Records & Charting Support,1,16,,Specialty experience
Westgate Family Dental — Momentum embed,19953,2026-11-13,westgatefamilydental.com,Momentum,Claims & AR Follow-up;Treatment Coordination,1,24,,
Oakhurst Oral Health Partners — Summit embed,27435,2026-09-30,oakhurstoralhealthpartners2138.com,Summit,Revenue Cycle / Billing;Claims & AR Follow-up,1,24,,Specialty experience
Bayview Dental Alliance — Momentum embed,18290,2025-04-28,bayviewdentalalliance.com,Momentum,Claims & AR Follow-up;Insurance Verification,1,22,2025-05-26,
Thornbury Smile Partners — Momentum 3 seats,82305,2026-09-01,thornburysmilepartners1533.com,Momentum,Practice Marketing;Revenue Cycle / Billing,3,33,,Practice software gap
Foxfield Orthodontics — Momentum embed,28266,2025-08-26,foxfieldorthodontics.com,Momentum,Recall & Reactivation;Insurance Verification,1,34,,Rate
Wynn Periodontal Specialists — Momentum embed,27435,2026-10-18,wynnperiodontalspecialists9199.com,Momentum,Revenue Cycle / Billing,1,33,,
Wynn Endodontic Associates — Core 2 seats,36164,2026-04-13,wynnendodonticassociates.com,Core,Recall & Reactivation;Records & Charting Support,2,29,2026-04-27,
Tarrant Smile Partners — Summit embed,28578,2026-08-12,tarrantsmilepartners7468.com,Summit,Revenue Cycle / Billing;Operations Leadership,1,25,,
Lockhart Dental Group — Momentum 2 seats,48219,2025-08-21,lockhartdentalgroup4296.com,Momentum,Revenue Cycle / Billing;Recall & Reactivation,2,29,,Specialty experience
Redwood Oral Health Partners — Core embed,21823,2025-02-14,redwoodoralhealthpartners.com,Core,Patient Scheduling;Insurance Verification,1,35,,Communication style
Oakhurst Oral Health Partners — Momentum 2 seats,43231,2026-09-21,oakhurstoralhealthpartners7587.com,Momentum,Treatment Coordination;Patient Scheduling,2,26,,Practice software gap
Ellswood Dental Group — Momentum embed,30760,2026-09-06,ellswooddentalgroup3002.com,Momentum,Insurance Verification;Treatment Coordination,1,37,,
Lockhart Smile Partners — Momentum embed,13302,2025-12-28,lockhartsmilepartners7531.com,Momentum,Practice Marketing,1,16,2026-01-25,
Fieldstone Oral & Maxillofacial Surgery — Momentum embed,19953,2026-11-14,fieldstoneoralmaxillofacials6382.com,Momentum,Practice Marketing;Claims & AR Follow-up,1,24,,
Foxfield Children’s Dental — Momentum 3 seats,92281,2025-07-14,foxfieldchildrensdental8061.com,Momentum,Recall & Reactivation;Patient Scheduling,3,37,,
Westgate Orthodontic Group — Momentum 3 seats,67340,2026-11-18,westgateorthodonticgroup5089.com,Momentum,Practice Marketing,3,27,,
Thornbury Surgical Arts — Momentum embed,20784,2026-11-07,thornburysurgicalarts2463.com,Momentum,Treatment Coordination;Claims & AR Follow-up,1,25,,Client paused decision
Redwood Kids Dental Care — Core embed,19953,2026-09-25,redwoodkidsdentalcare3533.com,Core,Front Office / Patient Comms;Patient Scheduling,1,32,,Client paused decision
Cedar Point Movement Clinic — Summit embed,35437,2026-06-29,cedarpointmovementclinic9718.com,Summit,Office Management;Revenue Cycle / Billing,1,31,2026-07-16,
Ellswood Family Dental — Core embed,15588,2026-10-15,ellswoodfamilydental6857.com,Core,Recall & Reactivation;Patient Scheduling,1,25,,
Westgate Kids Dental Care — Core embed,14341,2026-05-15,westgatekidsdentalcare8616.com,Core,Insurance Verification;Patient Scheduling,1,23,2026-05-29,
Everly Rehab Associates — Core 2 seats,33670,2026-08-01,everlyrehabassociates.com,Core,Records & Charting Support;Insurance Verification,2,27,2026-08-29,
Hollis Dental Care — Core embed,21823,2026-08-28,hollisdentalcare660.com,Core,Recall & Reactivation;Front Office / Patient Comms,1,35,,Specialty experience
Oakhurst Orthodontic Group — Momentum 2 seats,44893,2025-05-10,oakhurstorthodonticgroup1450.com,Momentum,Claims & AR Follow-up;Practice Marketing,2,27,2025-05-25,
Fairmont Orthodontic Group — Core embed,23070,2025-05-06,fairmontorthodonticgroup668.com,Core,Patient Scheduling;Insurance Verification,1,37,,Rate
Meridian Dental Care Group — Momentum embed,19953,2025-12-02,meridiandentalcaregroup8434.com,Momentum,Revenue Cycle / Billing,1,24,,Practice software gap
Nortonville Dental Group — Core embed,21823,2026-09-13,nortonvilledentalgroup4899.com,Core,Recall & Reactivation;Records & Charting Support,1,35,,
Brookvale Dental Group — Momentum embed,22447,2025-04-22,brookvaledentalgroup8228.com,Momentum,Insurance Verification;Treatment Coordination,1,27,2025-05-20,
Wynn Dental Collective — Summit embed,40009,2026-10-11,wynndentalcollective642.com,Summit,Office Management;Revenue Cycle / Billing,1,35,,
Alder Creek Family Dental — Momentum embed,24941,2026-06-30,aldercreekfamilydental453.com,Momentum,Treatment Coordination;Patient Scheduling,1,30,,Coverage hours mismatch
